"i","j","rho","gini","o_bar","raw","gini","over","cw","oracle","seed"
12,15,0.197121749237831,0.195263577708373,0.0988818202640586,0.197121749237831,0.158631051237519,0.019491757378272,0.015685727096767,0.537458393197567,900000009
13,14,0.111201886628372,0.172207177345237,0.0909545373358875,0.111201886628372,0.0920521236166353,0.0101143161491614,0.00837255831433699,0.456537982404061,900000009
13,15,0.0978184037449767,0.196615345137285,0.095865038941009,0.0978184037449767,0.0785858045318798,0.00937736508415953,0.00753363121165918,0.471141822357248,900000009
14,15,0.16744129164599,0.218174653437478,0.074510584077859,0.16744129164599,0.130909845870002,0.0124761484392938,0.00975416907731637,0.426182871588441,900000009
1,6,0.109606369824726,0.17160513854535,-0.000245525176641146,0.109606369824726,0.090797353545501,0,0,0.848509477875511,900000009
2,7,0.321734644677853,0.146881328473066,0.0278955294951382,0.321734644677853,0.27447783265176,0.00897495827021886,0.00765670447649879,0.950219910932633,900000009
3,8,0.106642313113055,0.143111820338336,0.00529043650272017,0.106642313113055,0.0913805375583547,0.000564184386027819,0.000483442931536911,0.784293829436585,900000009
4,9,0.313327737246583,0.0556181873999448,-0.00778423538484391,0.313327737246583,0.295901016438802,0,0,0.948340812210873,900000009
5,10,0.224224917971615,0.164112529477188,0.0311066819321741,0.224224917971615,0.187426799511478,0.00697489320461085,0.00583022583796891,0.980551417253887,900000009
6,11,0.105406305451527,0.190001152871157,0.0363110871307502,0.105406305451527,0.0853789858958475,0.00382741754138087,0.00310020379599921,0.942277182697972,900000009
1,2,0.224457857864223,0.176487835765135,0.133992932132738,0.224457857864223,0.184843776309288,0.0300757665154606,0.0247677595741694,0.224457857863975,900000010
1,3,0.327822212127365,0.0900804963070259,0.144635734724831,0.327822212127365,0.298291824558464,0.0474148065101607,0.0431436572074238,0.327822212127378,900000010
1,4,0.287395708163576,0.0860665157583143,0.11459589806391,0.287395708163576,0.262660560918044,0.0329343692767183,0.0300998228643735,0.28739570816357,900000010
1,5,0.248585372982569,0.161875653838761,0.144527191599995,0.248585372982569,0.208345453196264,0.0359273458300081,0.0301115832330843,0.248585372982984,900000010
2,3,0.367438508972169,0.157849461491248,0.148987109052756,0.367438508972169,0.309438538199765,0.0547436012064187,0.0461023532358938,0.367438508972264,900000010
2,4,0.231401531458491,0.182568153357094,0.134210725390094,0.231401531458491,0.189154981176111,0.0310565673934227,0.0253866272347953,0.231401531458467,900000010
2,5,0.318106793284082,0.246493230452639,0.132759300624181,0.318106793284082,0.239695622178559,0.0422316354001956,0.0318218231631034,0.31810679328403,900000010
3,4,0.284777284483606,0.0563197385543992,0.136656175880206,0.284777284483606,0.268738702275258,0.0389165746750791,0.0367248033639459,0.28477728448364,900000010
3,5,0.338756464702174,0.145152379236767,0.153638356642414,0.338756464702174,0.289585157868817,0.0520459865388361,0.0444913877629993,0.33875646470216,900000010
4,5,0.30780563123505,0.171258804358528,0.105240156160856,0.30780563123505,0.255091206854913,0.0323935126983673,0.0268458384446721,0.307805631235047,900000010
6,7,0.114951948595817,0.198251859305426,0.113979214187461,0.114951948595817,0.0921625110559143,0.0131021327702686,0.0105046105876963,0.114951948596353,900000010
6,8,0.161876932097762,0.252760884973469,0.113544601999942,0.161876932097762,0.120960775483941,0.018380251828012,0.0137344431099284,0.161876932098295,900000010
